,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
produces,-3.0860562,1.8630779,-0.17450102,-2.087808,-0.40963787,-1.1469394,-1.8103544,3.080579,-1.6529466,-1.0685685,0.87253153,0.62391484,0.28102905,-2.171186,-0.6264401,-1.103477,-1.4283087,-0.9584526,1.3743813,3.0132003,-1.6217271,-1.4197568,-2.3322394,-0.8874442,-1.6551734,2.2435813,-0.469029,-0.5102181,0.6438558,-0.56179035,-2.3905678,-0.29534587
degree_of,-0.26271483,-0.21187827,-2.1562066,-2.7832658,0.6531897,0.08690254,-2.321148,0.8838697,-0.5821752,-0.14142038,-0.63405704,0.5496989,-0.8071292,0.75387454,-1.4007864,1.1278653,-3.6413994,-1.7068626,1.4480355,1.1868958,-2.9325058,-4.6461697,1.8882082,-0.030627461,-0.48721018,1.0619,0.66131413,2.1728919,-4.8003106,-0.092920005,3.6046188,3.408045
connected_to,0.43240276,-1.2742316,-3.238202,-0.2321544,1.4840553,0.28582957,-1.6092778,3.1905768,-1.9564351,-2.167161,-0.14123379,0.10145744,-0.16784003,-1.3255125,-0.9808184,-1.7867186,-1.4901518,-4.485157,0.49133506,3.03162,-1.6534077,5.941371,-0.603481,-2.3627055,-2.129485,0.049286216,-1.7102039,-2.1530643,3.6350858,0.7273884,-4.2219663,1.7801588
process_of,-1.5215712,-0.10791302,-1.0479292,-1.1190178,3.1261675,-0.74557453,-1.1205702,0.64438117,-0.31012,-2.819216,-0.57707375,0.41834646,-0.47474694,-0.32852742,-2.9793386,0.119778626,1.7824221,-4.0963244,-0.67752653,0.5932921,4.154419,1.0361245,3.3580086,-0.17633773,0.989114,0.12910537,2.4658346,0.16224042,-1.9954264,-3.8755345,-0.40563676,-1.0796608
co-occurs_with,-1.973298,-2.2352886,-1.2694423,-1.7422633,0.3172552,0.23159748,-2.5733314,-0.090538934,-1.6030923,-0.77420723,0.58452827,0.50514233,0.34586003,0.6825729,-1.5488037,1.4472777,-1.516982,3.4660463,2.8353531,-0.3276219,1.4392791,3.7815397,0.6535427,3.3660493,-3.0016646,3.8368018,-3.160878,4.055924,1.4150054,-2.8851354,-0.57318556,0.5901458
disrupts,-0.64583564,-0.6052623,0.28046784,-3.0449886,-1.8369606,0.28125128,-0.4169545,-0.3903055,-2.4670506,-0.68831307,0.7649884,3.1880453,-1.4039726,-0.5724412,-0.15886325,-0.45882273,-2.7019365,1.8545654,4.9206624,1.4639921,-4.9367213,0.103863925,2.1502945,1.8956674,-4.4934015,-0.43703645,0.16926588,-11.428014,-1.3533766,1.3215522,-2.1462495,1.1695148
issue_in,-0.9299678,-0.3081546,-3.1218643,-2.360495,0.27763337,-0.85940295,-1.7050735,0.46411854,-1.9723068,-1.0146656,0.38030338,-0.042461466,-0.6022025,-0.43351495,-0.54576105,-2.226671,-1.4051634,0.15937054,-3.2350895,-3.8494973,-4.545405,-0.22285555,5.813236,-2.2923887,4.0807447,2.4729307,-1.329714,0.878352,-2.1750062,-0.3476515,3.9501925,-1.1104491
part_of,-2.001429,0.03254966,-2.4357288,-1.3609422,1.7647516,0.3566266,-1.908005,1.342012,-0.79476595,-0.8534748,2.8367252,-0.84394056,1.1569297,-1.4053099,-3.243901,-1.3348564,-2.563927,4.222045,2.8160396,-3.3662336,2.8352206,1.3319091,1.1307895,-2.9968348,-2.1779552,-0.62604517,-1.2547965,-2.1388273,-2.391946,3.0782013,-1.5109403,2.0649107
measures,-0.5001627,-3.1851661,-2.0926692,0.7216316,-0.49525535,-6.32178,-1.5047185,1.309273,-1.5921776,-0.01941397,1.3244407,2.160478,-0.41706246,-2.7078838,0.9948016,-1.807288,-1.1261553,8.64252,0.3832723,-0.26654625,-1.0255904,-2.7936907,4.6764064,-0.5152469,-1.5664204,-1.8005697,-5.663939,-2.9988365,-0.87331516,1.6999536,-4.354733,1.8216299
prevents,0.7027858,-0.47446632,-1.9100286,-3.164952,-2.2246187,2.882821,-0.6988411,-0.24065863,-3.0194843,-0.3164493,-0.6626761,0.38250637,-1.127233,0.3990108,0.40062025,-1.5988868,-0.19753598,-0.94719607,-0.067929424,3.0498567,-0.75378674,-6.2346754,5.4757314,-0.7622052,0.96697265,2.5847335,4.651422,8.605146,0.91688293,3.4126747,-0.5015619,-4.1719594
causes,-1.560744,0.60568,-0.05211124,-1.6659607,1.824773,-0.020292453,-1.7641253,-1.1339613,-2.7558084,-1.233272,0.76013637,-1.4426897,-1.0140417,0.21787241,-1.0233611,-3.8393965,1.6407933,-3.0159287,1.7728469,2.3650434,0.17572445,-0.8840759,2.3044329,3.9989336,3.2127924,1.30679,0.7170034,-1.5164269,-2.3822937,-0.30159175,-0.8450065,-2.1694188
indicates,-1.5739694,-0.61055315,-1.0818022,1.3897825,-1.9473128,0.7806104,-4.484627,1.1056408,-0.24513343,-0.5853165,-4.1865997,0.7361195,0.02483413,-2.4472048,-3.821372,1.2173625,4.535008,-0.13412026,0.6321075,3.5123491,-0.43453598,-1.0733372,3.742404,-1.5609224,1.8469336,1.6070812,5.8329554,-1.4878001,-1.5917097,3.222695,1.1529303,-1.6908199
treats,-1.2571992,0.10998379,-0.69383556,-2.3825798,1.1297524,-0.61725134,-1.8930818,-1.2503912,-2.0568876,-0.056270204,-1.0721165,-4.97845,1.1798248,-0.8110548,0.80173403,-3.357861,2.5759053,1.203622,2.7786226,3.3798513,2.5736544,-2.0523937,5.5452724,2.2343686,4.508781,3.4093242,2.602196,3.786963,3.388756,-0.5537057,-4.5869713,3.380136
evaluation_of,-0.8834726,1.3947458,-1.576918,-1.2106282,-1.7942075,-2.6524086,-1.4727348,3.9167688,-0.3181549,-0.48265836,-2.7611637,-0.8588085,-4.482606,-2.7143881,-0.14822459,-1.0754983,2.0457163,1.9667063,1.0352565,5.2743983,-7.4609838,-5.048794,4.3125,-0.31116724,-1.114451,3.8509576,4.394293,7.755838,-0.7095134,1.3673748,-0.35576692,3.3276083
diagnoses,-3.4950092,0.47279322,0.80364555,-3.076646,-0.40274066,-1.5638233,-0.6907928,0.6231283,-1.9555391,-2.3013363,-0.27263096,0.84757906,4.8762445,-0.85423315,-0.42665908,-1.4455492,3.1469855,1.775237,7.2057137,5.6546183,0.40079767,-0.0992365,3.9984932,-0.3268347,4.303539,0.30848798,1.5817271,5.7278132,5.8768587,1.0275629,-2.039203,0.6426311
exhibits,-1.7380991,0.2703331,-2.1004498,-1.450409,-2.575059,-2.3489616,-0.82067275,-0.16884188,-1.9602411,-0.10639734,-0.22815956,-1.2942133,-0.8651433,-0.8664708,0.89992,-0.54334456,-4.5117736,-1.7766042,0.00041982872,3.1374881,1.817522,8.219046,2.4662864,-1.3349574,4.621262,-5.9161634,2.0905638,-0.054945845,-0.92319524,0.40064007,-3.8651607,7.900038
ingredient_of,-3.301926,0.07764318,-1.0831028,-1.8862114,-0.81150776,-0.45046005,-1.3698959,0.35476577,-2.783831,-0.19389684,0.36792403,0.059120845,-0.79766583,-0.17888124,-1.1031852,-0.3780137,0.50750476,-0.031417627,-2.9581683,-0.26007035,4.296696,-1.3855169,-1.734481,1.1920831,4.6821914,1.331184,0.32694638,-1.8073504,-1.7108707,-0.54046804,-2.1383579,3.3431625
property_of,-0.5294415,-0.6408307,-1.0395995,-0.91499627,3.6311517,0.108355984,-2.5744588,-1.5306752,-1.1836172,-0.71340084,-1.6591781,0.5135863,-1.4330087,-0.06984904,-2.699761,1.4019525,2.0295,-2.1457858,3.090297,-0.89750093,-2.0340922,0.29424924,-0.395709,-10.039495,1.8646735,0.44902012,-2.0971072,-1.0856837,-3.6692102,1.2319552,-2.9993591,0.644191
manages,-1.4234244,-2.9774961,-1.7329311,-1.0177319,1.1840445,0.34884724,-2.7432003,-2.0420854,-2.0293021,1.1656898,0.28671128,-0.04787565,0.7931156,-1.7939279,0.4166018,0.94613147,1.9329923,-3.0254714,2.2502158,-1.2384158,-4.170297,-0.5381432,0.2082927,-4.382263,-0.91415834,-6.1328926,1.9553072,0.14074515,-2.0917544,2.8802872,-5.863977,-0.323596
assesses_effect_of,-1.2075405,-2.119704,-2.4526517,-1.6683013,1.9439559,-1.3614281,-0.13009386,-1.2658277,-0.46346205,-1.9009032,4.0537887,2.906015,-0.5071165,-0.624488,-1.2855805,-1.1024772,-3.3783658,6.2524347,-1.7208431,4.64717,-4.6897645,-1.8139632,3.044149,3.3865383,-0.35325533,-0.41521734,-4.9079666,2.1886673,1.4278581,3.438846,0.7425264,1.3547999
method_of,0.27863887,-0.15432805,-3.841768,-1.9016182,-1.389958,-0.57108307,-0.8951103,-0.07784179,-2.6335752,-0.48779276,3.845752,-0.6185462,0.18516234,-0.56605893,-1.1471658,1.1615154,0.70638484,0.79870075,-0.15855578,0.9613708,2.1456082,-2.8139172,6.269441,-3.3229434,6.4022574,0.87808776,-3.6372404,0.019375551,-0.41490647,0.09069171,-2.654632,-5.275958
measurement_of,-2.339292,2.2607663,0.36168224,-1.7341716,0.9049026,-1.6806558,-1.1874962,2.0776813,1.7334414,-2.7755592,0.9149953,-1.8114886,1.6922796,-3.9420595,-0.05665852,-3.0504055,-2.7883847,-1.3308324,0.20150237,-0.29597813,-1.0896847,3.6582427,0.84482986,-4.9890766,2.2663097,0.33340636,2.2953558,3.4618018,3.9430466,6.424831,0.6743116,1.0857489
precedes,-0.8126645,-0.7027542,-0.8158811,-2.2432563,0.8194348,-0.055902015,-1.2790082,-0.18315697,-3.1593957,-0.57911277,-0.21269111,1.5048285,0.43606365,1.1384556,-0.61835366,0.9026311,0.39623258,0.6290064,-3.716041,1.8276193,2.5243385,-4.2809143,1.8057326,0.5764423,-3.6399305,-0.49711227,-2.421694,1.8860914,-0.326616,-1.7053442,-0.75730616,2.0291278
consists_of,0.29111296,0.12084259,-0.6085506,-1.9182236,0.29795203,-0.63042027,-3.143913,0.83324325,-2.508102,-0.6482628,0.34261486,-0.8751576,-0.42213655,-0.3507926,-2.4296167,1.3548235,-2.3064682,5.017085,-0.69709593,0.68016493,-3.1388676,1.0936397,-0.45400986,-1.3872237,-0.60222507,1.7131333,3.5403936,-2.3192527,2.4100773,-1.3957008,-4.9750376,-0.76048255
performs,-0.5727918,-0.45232558,-3.3416288,-0.8870972,1.6563591,-2.2426775,-1.189718,-1.5200107,-1.6432655,0.42538667,-2.4291058,-1.5331588,0.6927834,-0.55927473,-0.6964328,-2.316947,1.9191049,-0.42875212,-5.6409955,0.9861012,5.941136,8.56531,-0.05030313,-5.7138233,1.0275246,2.270569,-3.024123,9.69488,-2.4717953,-1.288998,-4.4055243,5.732966
conceptual_part_of,-1.1830673,-1.0111153,-2.818806,-1.572159,-0.82461745,1.1763295,-1.982019,-0.37286237,-2.713617,1.5731645,0.18773194,-0.49706998,-0.9354919,1.1358705,-1.2118729,-0.8815169,-1.7100664,6.7275248,-0.8895302,2.5316458,-5.736798,3.9977493,3.1661398,-1.1309576,-0.8855039,0.5030707,3.942866,-1.0019901,1.6048166,0.0323055,-2.9231744,-0.8846108
analyzes,0.45506498,1.2141676,-3.3424766,-0.62761855,1.4884223,-2.6007643,-1.293548,-1.6313722,-1.3463902,-5.158676,-1.116116,-0.7549464,2.3992603,-1.0430623,-2.6894717,-2.3787897,1.8095067,9.680341,0.7432168,4.7054973,-3.4936893,0.2061371,-1.1976881,-5.88204,0.8446187,-1.526802,-0.32396993,-7.0591736,7.3991275,3.179964,-2.6558223,3.8492908
carries_out,0.6165106,-1.2974954,-2.622496,-2.100992,-0.23717315,0.44984287,-2.3553066,-0.111957885,-0.6457705,-1.3429928,2.354308,1.8657347,-1.5595955,-0.986577,-0.8759886,-0.07811221,0.5222533,-4.80022,-3.2328413,3.3473825,6.546797,0.43402815,0.8408492,-6.6952424,-0.4094442,-0.740626,0.28552094,-0.1529761,6.1361313,-1.6941997,0.3230946,6.232416
developmental_form_of,-2.1740637,-1.5704443,-1.5268264,-2.8683877,-1.4446996,-0.04062725,-0.7526342,2.1031322,-1.3932447,-0.23839836,0.32319406,-0.8749668,-0.22327594,-0.68758905,-1.523237,-2.3490708,-3.2741048,0.42908996,3.6269982,-0.69773924,-0.8125647,-0.3959729,2.0036795,-0.015502314,-1.2054907,-2.1686146,-3.4343896,0.5791572,-2.3308492,0.40933892,-1.6566266,3.299716
contains,-1.3366281,-0.86079365,-1.2236875,-1.3344499,-0.3446971,0.49419138,-1.9456764,1.191087,-2.7209282,-1.9588237,-0.6989529,0.014768757,0.7680391,-0.8760054,-2.3090072,-0.41425854,1.321901,3.4002247,-2.4905746,3.1429605,-1.9695007,-1.8055054,-2.4927814,-5.4910703,-1.3243681,2.2437716,2.0150104,-4.4867487,3.8818998,-2.1316032,-4.932655,4.9980736
adjacent_to,1.3272029,-0.9250018,-1.9182783,-2.7833478,1.0786811,-0.4401693,-0.8316686,0.75687087,-1.8593092,-1.1991944,-1.4541681,-0.023542967,-0.5955892,-1.0296707,-0.08076713,-0.45496786,-0.85656744,0.6298982,4.374253,3.8569357,0.8592101,1.0037583,-1.8501027,0.54480433,-1.0829746,1.1654882,0.32952306,-4.1889105,5.2720118,-1.2587963,-3.5271695,8.133944
interconnects,0.16829444,-0.98484105,-2.376349,-0.60600245,0.59690434,1.7126375,-1.9433792,1.2096138,-1.9884373,-3.451497,-0.032787386,1.8648559,-0.40973794,-1.9821497,-0.7730969,-2.0418417,2.9158573,1.3412365,3.3048723,1.2078669,-2.8138213,7.996185,0.49603516,1.9647282,-0.92371356,5.1040745,-3.730665,2.6764944,-0.24153459,-0.9034714,-0.1748662,2.2140472
conceptually_related_to,-2.5964158,-0.6827139,-1.2838918,-1.7669213,-0.36820662,-0.6445828,-2.6185746,2.6290655,-1.0407345,-1.3739142,2.5399942,1.9748838,-0.9467132,0.22572523,-1.4140525,2.508186,-2.4694214,-1.8154131,-2.4868827,0.36761084,1.0479006,1.1125708,0.44479394,1.2922987,0.92754483,4.5604897,5.9915447,-4.0132,-1.2728844,1.6340613,4.2577496,2.882468
surrounds,-1.5103709,-0.4124169,-0.5189293,-2.0409667,0.52757764,0.25501186,-2.540482,2.087857,-3.2777047,-1.6911926,1.1825659,0.50295335,-0.042934,-0.13602783,-0.7268175,-0.30822444,4.712697,4.396728,0.5552592,1.0405507,-2.7173345,-4.4119344,-1.7068983,-1.7264197,0.35075355,-0.6518731,-2.183772,6.892723,-5.2195735,-0.78791034,-1.5884323,1.3857011
derivative_of,0.67515856,1.8070674,-0.73248243,-1.8350583,0.9827142,-1.0245166,-0.4897206,-2.3909883,-1.6918344,0.18236688,2.4654338,2.2336478,0.11944815,0.39554468,-2.1677966,-0.4924194,2.0589654,-2.808803,3.2419052,-0.07471328,-4.020702,0.518457,-1.8946884,-1.1930494,-1.0390859,-0.79911894,-5.604631,1.0646533,2.4824529,-0.99671966,-5.1883936,4.035962
practices,-0.6681435,-1.1652579,-2.339226,-2.6639328,-1.1095772,-0.78174,1.4925058,-0.59726495,-2.4154017,-1.0566854,0.07812605,0.07819106,-0.19747192,-1.7947159,-1.4805423,-1.0323837,-1.1257865,0.5792058,0.47783655,-4.5047355,0.659812,1.9899433,1.3455111,0.54769707,1.1609215,-0.98846114,-1.9738314,-1.4861989,2.0090108,-1.0927037,0.007819062,-1.8669463
location_of_inverse,0.5519737,0.49861127,-2.198014,-1.7588241,-1.2364753,1.3258455,-1.5063854,-0.6308075,-2.4105492,-1.4937001,1.7510924,0.5620051,1.8531353,-1.8219322,-2.0201938,-0.04425439,-0.9311581,3.2907183,6.0518584,0.053346574,2.264068,1.87056,-0.5516203,1.1184196,-0.45395127,-6.4578557,-0.46100277,-3.5397875,1.27036,-0.25997606,-3.3860772,-1.1599692
manifestation_of_inverse,-2.9326267,0.87788594,-0.57290304,-1.6976337,0.43196732,-0.32076415,-2.008251,0.90881026,-0.5613513,-1.3331814,1.7364522,-0.38273755,-0.015342763,1.9963208,-1.4112897,1.6175917,-0.060306333,2.8455381,4.4243364,1.054384,4.4606495,2.704822,4.6676064,2.0484483,7.5630937,-5.1216846,-2.037951,0.704531,-3.4589572,0.23594052,0.110681966,-3.863932
isa_inverse,0.013864494,-1.4131678,-0.7165482,-3.514081,1.6491252,-2.186928,-1.56141,-0.90105444,-1.6228101,-0.086290546,-1.7441412,2.245185,-1.921547,-0.8909791,0.94661176,1.9419004,0.28548828,3.5969584,-0.87247926,2.3989997,1.5538939,0.2966598,0.31195366,-5.617116,0.15715489,0.4265247,2.2721648,-0.619371,1.6508129,-2.9273682,-0.15111881,-1.0782181
affects_inverse,-1.6915958,-0.36861446,-1.8954922,-1.1121943,-3.3503418,-0.88691384,-1.1085314,0.20775256,-0.26072806,-0.7454923,-1.0579484,0.24668884,0.034386065,-2.6155612,-1.0996609,-2.0624642,1.0591178,-3.5145125,2.062041,3.420934,1.7215389,1.25276,3.2350628,-0.36329785,-0.5139397,-3.3004894,-1.3587205,1.6532314,-1.6854331,-2.2039452,-0.23266725,-0.3686366
associated_with_inverse,-4.252849,-0.5299746,-1.1093869,-0.70082206,-0.067294255,1.2507824,-0.8900442,0.4768482,-4.245963,-1.2486771,0.36470652,-0.7353605,-0.28668126,0.06466842,-1.4867276,-1.0604315,-3.0796816,2.514164,-3.3804357,-1.2659642,0.8963806,0.50828457,2.0094082,1.3058131,4.5590353,-2.9589057,3.9314334,3.4711769,-0.12529673,5.640511,1.8453853,-0.7742587
interacts_with_inverse,-1.2563207,-0.08073657,-1.8630729,-2.0121288,1.2514127,-0.9504026,-1.979891,-0.17796111,-1.7102003,-2.0847821,-0.9310571,0.083540134,0.84647125,-2.376937,-0.5674464,1.1683079,0.2573892,-2.103287,1.3874489,-0.932982,-4.235572,-3.9370275,0.16285457,1.2107903,2.293699,3.6137989,5.2267427,1.7627904,0.8779613,-4.8051944,-2.2349658,-1.512017
result_of_inverse,-1.2074549,0.08197588,0.3089773,-1.7788155,0.629834,-1.035381,0.4565086,-0.8257432,-1.7839617,-0.26026404,0.7001848,0.38620454,-0.06521927,-0.058944676,-1.2899354,0.7762162,1.5691745,-0.85500866,0.69374907,1.3095663,0.18365142,0.2018184,4.8148823,0.38549185,0.07129543,-1.2939035,-0.55458224,-0.56931454,0.42860278,1.2845695,-0.2050339,-1.0521604
complicates_inverse,0.99954206,1.3005705,1.000758,-1.3459729,-1.166882,0.14506677,-2.4832003,1.449442,-1.6909665,-0.4890509,0.75761837,0.15934727,-1.1433139,-0.8252641,-0.4071089,0.8489559,-1.9817318,3.0004165,-0.07926095,6.3090777,-0.63939047,0.12795906,1.3563079,-1.3740262,0.37207493,2.3782995,-1.328594,1.6110435,-7.86036,-2.5051963,-3.8297484,0.689198
occurs_in_inverse,-2.6865883,-2.0876021,-0.47789767,-2.6432126,-0.46750104,1.6500844,-1.1569225,1.0039765,-2.240424,-2.8906853,0.9840106,-0.14147338,-1.5207218,1.8633022,0.27844137,-0.5946252,2.7990484,-2.6844082,3.4424481,4.643991,-0.7546326,1.1404746,3.4673138,-0.56309193,6.1152325,0.9663109,-1.2794591,0.48852274,-0.9016684,-1.7145394,-0.37798005,-1.0919347
uses_inverse,-0.05083466,1.4282428,-0.610299,-2.2401772,0.9419213,0.9312261,-2.5445464,1.3833756,-2.6912963,-0.12713419,2.9900732,-0.87666327,1.3167974,-0.15945187,-2.0831282,-0.33500168,0.46754006,-3.3957007,1.076919,2.4815905,-2.2655067,4.802326,-0.83406776,-2.872423,2.782595,4.768692,0.9748659,-3.519599,-1.975693,-1.6342849,-3.8256376,0.76988024
produces_inverse,-3.7391062,1.7906898,-1.8008531,-2.273306,-1.3147879,-1.637015,-1.2842529,3.0487432,-0.92924285,-1.4986551,0.5826804,0.469235,-0.14771554,-1.7888111,-0.65075004,-0.52030903,-0.4751546,0.19152732,5.848792,3.020151,-2.6995401,-2.8760476,-1.5307541,0.55682945,-0.530743,1.2050864,0.10237395,0.09792587,0.1638109,-2.567334,0.14837432,-1.3874593
degree_of_inverse,0.3822968,-0.4871837,-1.1126108,-2.0713508,0.8782269,0.1487352,-2.444931,1.1206874,-1.0246699,-0.6594102,-0.46301484,0.94234616,-1.3868288,1.8301744,-1.2442411,1.0351082,-0.14778028,-0.39049008,3.0593865,0.84778273,-0.016183602,-2.229555,2.2251463,1.4282279,-0.9301561,2.699849,1.7852658,2.1421351,-6.8125687,-1.4499971,0.53709555,-0.22771168
connected_to_inverse,-0.6188331,-2.3661613,-3.38533,-1.4968861,0.13966078,0.2586616,-1.3323495,2.1751993,-1.5468887,-0.99272037,0.71795565,-0.52059126,0.15177186,-0.24915044,-2.7746556,-0.93751055,-2.676594,-4.649593,2.5469117,1.4588616,-1.246473,5.7254457,1.1085708,2.3378336,-3.1510189,-3.391627,-2.5693622,-5.9497776,4.464514,-1.5875859,-1.8106338,3.2507722
process_of_inverse,-1.4529964,0.13590978,-1.0298461,-1.1970869,1.683536,-0.15056579,-1.4915506,0.245678,-0.4697876,-2.3418896,-0.72996676,0.2618491,-0.043071885,-0.3469216,-1.9391905,-0.2919761,0.48162386,-4.329356,-1.456889,2.2407315,4.6680293,1.057944,3.6474195,0.2630771,0.45062158,-2.7788513,0.39478776,-0.19149293,-2.00038,-1.192951,0.21536265,-1.2555156
co-occurs_with_inverse,-0.9904208,-2.0980446,-0.16980438,-2.0717137,-0.0100228,-0.66216207,-2.9684596,-0.38687336,-1.4777877,-0.01847651,0.8653594,0.89950037,-0.13686185,0.9826753,-0.9217932,0.6873516,-1.8044118,-1.199369,1.4674101,1.0388457,0.21940015,-4.344994,4.4512544,-5.6280737,2.3842576,0.4981367,1.610413,3.0039682,-0.49321538,-1.679758,-1.1975191,0.75451833
disrupts_inverse,-1.1696296,-0.49204054,0.2341296,-1.7217699,-1.8262416,0.1554722,-1.9570757,0.1529941,-2.3149548,-1.2885634,0.47185227,2.6556432,0.012124765,-0.8389965,0.78538245,-0.026474752,-5.3717413,6.594231,-1.9750955,6.4841213,-5.837682,0.057198986,6.2320094,0.28120053,0.1615489,5.4135017,-4.8308086,-5.095462,-1.843692,-0.21939969,-3.0742037,1.4719732
issue_in_inverse,-0.88904804,-2.0577655,-3.6841376,-0.6450607,-1.4900558,-1.5911974,-0.5906952,0.59994733,-0.54561955,-0.12491277,0.12546258,-0.500559,-0.7745866,-0.13552408,0.81038207,-4.661294,-0.18477835,5.180217,-7.995651,-4.9747043,-4.94886,-1.1913917,3.7612514,-3.697242,2.7992592,1.4729979,-2.5060465,1.5772513,-6.1651816,-2.0088408,9.011081,-4.4551525
part_of_inverse,-1.8331072,-0.28980002,-1.2927359,-1.8184171,1.3065234,0.6768542,-2.1470716,2.144649,-0.97817004,-1.584588,2.411039,-0.4569105,0.961923,-0.8902416,-3.3777056,-1.5659575,0.1739917,9.043124,3.3110359,0.7757243,3.7662582,-0.12810323,0.44112307,-1.6433978,-1.5360067,-2.1599796,-5.085664,-4.940279,-3.2849417,0.88795274,-2.4096236,1.9695432
measures_inverse,-2.065446,-2.1027133,-2.3865418,-2.163714,-0.28568888,-1.2910993,-2.5418036,0.097401276,-0.51655525,0.91974986,-0.15105738,0.64678335,0.009565324,-0.027303023,-1.0217103,-1.457843,4.847039,2.7532184,-2.1279194,-3.0399823,1.1970223,0.15791151,2.7522154,-2.7296412,2.386327,-4.5248404,-4.145687,-1.3540795,-2.124444,2.614193,-4.2678585,2.466299
