,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
saint_martin,-0.65821284,-0.48466146,0.5103692,-1.5355493,0.7302022,-0.3833009,-0.4510199,0.14675826,-0.22114502,1.4978489,0.75717956,-1.3621564,0.91958416,0.8100121,1.5874208,0.8317177
zambia,-0.64966816,-0.5164176,0.05001973,-0.83969235,0.0052105123,-0.2357065,-0.44428486,0.49782866,-0.29101032,1.2020019,1.1971292,-0.33070523,0.68400633,0.8254054,1.3064069,0.6214505
ecuador,-0.26046994,-0.71072936,0.56768006,-1.3981596,0.8210869,-0.28156576,-0.51216066,1.8702503,-0.45573854,2.22079,-0.019564688,-0.32865217,1.8762314,1.2261181,1.2712085,1.7769674
aruba,-1.4928601,-0.56374305,0.7455988,-1.6405004,0.063915156,-0.76774794,-0.3589163,-0.6256153,-0.43831563,1.384538,0.2806034,-0.6677405,1.1972088,1.6774393,1.2625718,0.3461906
mongolia,-1.3330384,-0.61994594,0.47397235,-1.8986495,-0.010206935,-0.65106183,0.4332826,0.5379115,-0.18570249,1.8171389,0.6393784,-0.29563755,1.2940665,1.4501876,1.4602168,0.91142505
taiwan,-0.19576736,-0.29536408,0.7020221,-1.5510108,0.9701254,-0.5065657,-0.2946072,0.44201577,-0.31251323,1.6418484,0.62393403,-0.4699593,1.8801928,1.2210231,1.7414967,1.4566315
costa_rica,-0.6972598,-1.1906112,0.60743296,-0.77784866,0.73895985,0.23853956,-0.5724382,0.31603944,-0.26964042,1.7471147,0.24520788,-0.6804069,1.3711411,1.0909559,1.2637165,1.2338623
french_guiana,-1.0320771,-0.07949554,0.5176628,-1.3714375,0.15365525,-0.49946985,-0.7273582,0.32656604,-0.2202842,1.2058386,0.35724813,-0.54831827,1.1986427,1.1034565,1.3097335,1.1376822
yemen,-0.8631309,-0.5846697,0.63712907,-0.95901793,0.4052777,-0.45412043,-0.5500919,0.36200795,-0.36295554,1.1314449,0.011530557,-0.58538496,1.144072,1.2520491,1.9849825,0.7738535
namibia,-0.06542338,-0.42896563,0.07667672,-1.8463508,-0.4665631,-0.69284046,-0.49020365,0.4472508,-0.3540105,1.490187,0.7744689,-0.66120845,1.3688807,0.58338845,1.3900995,1.0352082
hong_kong,-1.4457078,-0.5836877,0.7262204,-1.4654329,-0.63702595,-0.21419433,-0.66579884,0.56873333,-0.298285,1.7878919,0.8567013,-0.6210521,1.1641413,1.3560426,1.2264823,1.1296145
guadeloupe,0.0015383469,-0.5521377,0.6862503,-1.1018741,0.52851367,-0.7657738,-0.3619447,0.46166173,-0.587348,2.0696027,0.28482053,-0.8018482,1.6390553,1.4945053,1.372711,1.1368592
turkmenistan,-0.21163622,-0.8777742,0.41637108,-0.12454741,-0.38727883,-0.7816724,-0.73550093,0.19975491,-0.46016693,1.5706282,0.94230145,-0.9450598,1.2399012,0.5870632,1.9620253,0.8542298
paraguay,-0.6138778,-0.48143435,0.86650383,-1.0351162,0.18045712,-0.7451501,-1.6269531,-0.10306624,-0.23319261,0.9686455,0.1940597,-0.31177488,1.4255198,0.74488366,1.9514859,1.0013605
iceland,-0.9555903,-0.23837776,0.8144679,-1.5167519,0.6890904,-0.56676817,-0.38470766,0.34554207,-0.28269768,1.749802,-0.20999482,-0.5318758,1.0187714,1.3778013,2.1033547,0.8670038
azerbaijan,0.054303866,-0.926413,-0.43574643,-1.140925,0.5939171,-0.6669701,-0.7348425,0.1472293,-0.42630726,1.9557719,0.027749581,0.23697324,1.5468879,1.5794275,2.040072,0.5464404
india,-1.1354704,-0.42051092,-0.46022612,-1.1219037,0.5649351,-0.48581567,-0.42414218,0.35504523,-0.037515268,0.9745936,1.1502656,0.012241499,1.2941931,0.9729186,0.90180665,0.7570289
cameroon,-0.8385751,-0.35617736,0.8805009,-1.2230436,0.052463643,-0.63029987,-0.5155527,-0.8333775,-0.57441396,1.2268665,0.08777523,-0.29905316,0.3401364,0.79146904,1.5976794,0.61352324
Åland_islands,-0.47832218,0.15512401,1.0701418,-0.6948527,0.5116844,-0.68947715,-0.5936868,0.26478195,-0.368805,1.9702467,-0.1741319,-0.79862064,1.5750868,1.4060162,2.3125944,0.8306163
british_indian_ocean_territory,-0.89325297,-0.72630215,-0.11453152,-1.4934647,0.5029024,-0.7985875,-0.3902364,0.44608608,-0.28675255,1.5718181,0.9689237,-0.62427646,1.699721,1.1606709,1.8802558,1.1227582
croatia,-0.59568405,-0.5330359,0.9618047,-0.13902861,0.38261214,-0.3606013,-0.47871828,0.3452504,-1.1630033,1.2151797,-0.23500992,-0.63309735,0.7461074,1.3199545,1.6256572,0.94321954
ukraine,-0.30172458,0.2609438,0.469275,-1.4313039,0.50241077,-0.2998715,-0.5814146,0.20556585,-0.48204112,1.0486476,-0.56076723,-0.100602254,1.1962813,1.4284861,1.5533026,0.92538226
ethiopia,-1.2221218,-0.65770566,0.57792205,-0.39889935,-0.93914676,-0.21214873,-0.57857835,0.46692,-0.18909927,0.79038197,1.88567,-0.8128851,0.262399,1.1008534,1.7022457,1.173961
antigua_and_barbuda,-1.0692081,-1.0532304,-0.26938954,-1.6305188,0.32309452,-0.507556,-0.26902705,0.08504714,-0.41719192,2.2891195,0.28421888,-0.58627546,1.6163949,1.0394626,1.5473613,0.7045186
denmark,-3.1347375,0.003935188,0.7901556,-1.4179357,0.4500479,-0.46228692,-0.8044988,0.44300216,-0.20332162,1.5818173,-0.30247557,-0.47485983,2.0849988,0.81673837,0.9991874,0.9698273
saint_pierre_and_miquelon,-0.29951447,-0.33580333,0.5843482,-1.3774835,0.44306153,-0.72389936,-0.58715695,0.32472515,-0.34959596,1.5739119,0.24769364,-0.5571147,1.5882807,1.0899565,2.226717,1.1589795
honduras,-0.43027514,-0.4648836,0.017493274,-0.05141401,0.5769468,-0.53184813,-0.73385143,0.8833629,-0.6261462,1.6837896,0.6443143,-0.8433559,1.481598,0.80907524,1.5423805,1.1983414
eastern_asia,-1.33366,-0.47077328,0.3124649,-1.7046055,-0.3150934,-0.41650626,-0.4743356,0.51314515,0.03975051,1.5907589,0.6071941,0.05791646,0.35396534,1.0294785,1.5655882,0.5962134
sint_maarten,-1.3853574,-0.7812683,-0.9116552,1.0092708,2.1136887,-1.2072982,-0.80985856,0.5115309,-0.6096523,2.2186415,0.25354975,-0.47100112,2.2283337,1.2912394,2.988822,2.1509037
slovenia,-0.11048476,-0.51025563,1.059508,-1.0687121,0.6447309,-0.49673423,-0.61139464,-0.028190058,-0.6267498,1.2796108,-0.49106455,-0.6340697,0.9890074,1.1828562,1.6286069,0.7645012
marshall_islands,-1.4117302,-0.9900946,0.49603397,0.37787232,1.1422821,-0.9583146,-0.5191857,-0.45918673,-0.17190143,2.287913,0.25606468,-1.2470428,1.7444824,1.6091233,1.1366051,0.88309246
malaysia,0.063403144,-0.5151876,0.29651153,-0.5483088,0.91306955,-0.91056836,-0.59079915,0.5020287,-0.33427438,1.5410018,0.33944073,-0.6520515,1.6305962,0.94362986,1.710391,1.1962414
united_kingdom,-0.45852578,-0.42575127,0.93047786,-1.0973152,0.47010124,-1.6067107,-0.47471178,0.48131996,-0.34304446,1.5433872,-0.17369045,-0.2858405,1.2893841,0.80899674,1.6310954,1.1628555
andorra,-0.4429946,-1.2143383,-0.29032457,-1.5724132,0.4127773,-0.70197207,0.015882947,-0.17049885,-0.3555707,1.987487,0.052502558,-0.71825045,2.235629,0.9547801,1.8548393,0.85581106
kyrgyzstan,-0.9376823,-0.9791575,-0.58023155,-0.29376882,0.822832,-0.0258798,-0.75324976,-0.19752191,-0.2914499,1.593496,0.6909408,-0.8013768,1.7684456,1.3373992,1.7465315,0.5402103
australia_and_new_zealand,-0.5632777,-0.6064446,0.8696251,-0.550905,0.49643934,-0.37817127,-0.61345774,-0.32736295,-0.2759928,1.0774981,0.49276125,-0.62497383,0.51130855,1.3479658,2.16684,1.0046593
belarus,-1.4183874,-0.6256967,1.357884,-1.4267365,0.6179307,0.15001015,0.38242912,-0.19870947,-0.46759713,2.1137788,-0.42594805,-0.05684747,1.3201543,1.1141235,1.5764941,0.6868448
sri_lanka,-0.5573782,-0.6186159,0.5912857,-1.4495758,-0.14168611,-0.26909807,-0.75269926,0.14490218,-0.2226247,1.5547228,1.0836877,-0.680565,1.4049513,1.0789274,2.1179545,0.9475848
gambia,-1.1895709,-0.52597255,-0.2777405,-1.3503219,1.0591571,-0.39033827,-0.45741585,0.2057041,-0.35424593,1.5765485,1.2292608,-0.4559788,1.8105087,0.929147,1.4622021,1.1478463
tunisia,-0.95030975,-0.577837,-0.6266514,-0.37735137,0.41656497,-0.78038585,-1.0793072,0.05494765,-0.35242683,1.8205211,1.1386086,-1.4069142,1.1106008,0.8114812,2.19095,0.5885748
latvia,-0.35591188,0.7104175,0.8391775,-1.4745721,0.66703624,-0.62096614,-0.47230586,0.36483535,-0.48904938,1.5786628,-0.43634745,-0.17811918,1.5560017,1.3447402,1.9024004,1.0309399
algeria,-0.70184743,-0.42245737,-0.49785063,-0.7214929,0.5016551,-0.8080554,-0.42139006,0.27052882,-0.43210027,1.0683231,1.5160758,-0.7829109,0.8173736,0.1994984,1.0708162,1.0717554
western_asia,-1.3414955,-0.3943486,0.81850076,-0.95166445,0.29623622,-0.33414346,-0.3516801,0.20411377,-0.2906413,0.9687426,0.2194575,-0.24263206,0.47776765,0.63768256,0.8194014,0.61943245
niue,-1.1824642,-0.3680665,0.9968891,-1.4291347,-0.41283566,-0.464982,-0.40476665,0.3048769,-0.3408105,1.9803196,0.21539496,-0.5799739,0.2780551,1.4795041,2.0164337,0.9999343
macedonia,0.43046364,-0.82174754,0.58536553,-1.5057881,0.3380778,-0.30054396,-0.6720278,0.41321647,-1.1614361,1.0794643,-0.268747,-0.4840526,1.776011,0.89773035,1.4418817,0.9974884
czechia,-0.73731565,-0.36648083,1.0623451,-1.2040172,0.3690191,-0.49688292,-0.9183174,0.4365134,-0.38148293,1.1806645,-0.48899114,-0.37121928,1.2355331,0.84839654,1.3098695,0.95932454
bangladesh,-1.0575083,-0.47040358,0.047485154,-1.5115987,0.23435861,-0.43675214,-0.54475415,0.6892483,-0.11348754,1.2815499,1.5361241,-0.36454725,1.1989291,0.7725546,1.7415264,1.3847979
mexico,-0.43815964,-0.8781759,-0.07882288,-0.58716315,0.089542545,-0.20848414,-0.4867693,0.47185275,-0.5722794,1.4943044,0.36204103,-0.792833,1.4651704,1.0928521,1.9257036,0.98106605
saint_lucia,-1.0599673,-0.4687123,0.4447686,-1.5929123,0.64722407,0.1502954,-0.32235083,-0.48057684,-0.37789816,2.0905817,0.17255914,-0.69781226,1.6891704,1.4406935,1.9114149,0.9071556
bhutan,-0.85313445,-0.49012193,0.29540738,-1.6150513,0.5875931,-0.2063308,-0.6592873,0.10754086,-0.12419276,1.6621343,1.2435415,-0.31196967,1.1618114,0.9886657,1.4833313,0.7884223
gabon,0.11819984,-0.7246154,0.88470095,-1.4837337,1.0204129,-0.6377295,0.04042294,0.7871148,-0.3231448,1.5098655,0.0886509,-0.2528556,2.17716,0.6875387,1.3051158,1.830129
palau,-1.505822,-0.21823055,0.5207335,0.14322026,0.8733858,-0.38124985,-0.34505332,0.3203492,-0.19200577,1.9070631,0.27023956,-0.92810637,1.3628329,1.4772654,1.8311839,1.4921849
oman,-0.6685149,-0.67254055,1.0531545,-0.8659937,0.3772776,-0.3980972,-0.22449581,0.43806756,-0.28239402,1.365613,0.13806874,-0.63288593,1.0635576,1.1315289,1.0999669,0.90325904
cayman_islands,-1.2011566,-0.44860193,0.53012156,0.06679949,0.6761787,-0.84892976,-0.5064241,0.17836906,-0.42453143,1.1282594,0.28567335,-1.0854366,1.7112504,1.4249164,2.1087756,1.1593363
moldova,-0.33665365,-0.68170714,0.8260058,-1.5627512,0.7758454,-0.2984869,-0.5118595,0.25019357,-0.63407445,1.7059749,-0.22725011,-0.1765995,2.0227113,1.0141188,0.86247915,1.1123346
myanmar,-0.5959656,-0.53271186,-0.7023645,-1.4616032,0.6297082,-0.82083666,-0.60845715,-0.40744144,-0.15316705,1.5059336,1.1391218,-0.25998092,1.5633248,1.2986748,2.0312777,0.5640876
faroe_islands,0.053568974,-0.38865858,0.36052048,-1.7541997,-0.1313026,-0.70674443,-0.6526193,-1.0071096,-0.6706431,2.377898,-0.18767741,-0.787547,1.6525885,1.8451571,2.8872914,0.6514094
christmas_island,-1.2684749,-0.37170157,0.9251289,-0.9314809,-0.3519488,-0.45197904,-0.36994636,0.2578947,-0.34562173,1.5336304,0.26176524,-0.9252451,1.0626714,1.3619335,1.8324846,0.9751966
vatican_city,-0.91666955,0.18124266,-0.38948214,-1.4761182,0.28349867,-0.57411915,-0.7940076,0.28853005,-0.61608535,1.7160217,-0.19837,-0.77069,1.3464899,1.1571332,2.4290419,1.2673279
ghana,-0.43060043,-0.27388364,0.3255747,-1.3980995,0.7142628,-0.23917212,-0.47118878,0.12730072,-0.2280361,1.3037903,1.1391004,-0.5906831,1.6216623,0.51868045,1.5323641,1.168556
finland,-0.00567626,-0.45149162,1.0718904,-1.6063324,0.818934,-0.5997558,-0.67232037,-0.2404745,-0.4388638,1.7530804,-0.045909528,-0.18317416,1.402489,1.2854375,1.839688,0.29373083
togo,-0.37010592,-0.31929913,0.88661164,-0.53415006,0.38022074,-0.7356106,-0.4820244,0.20712966,-0.27722168,1.0593697,1.3091596,-0.6703379,1.5816592,0.7749717,1.7090454,0.9803896
mali,-0.4419642,-0.64906675,-0.19830064,-0.76747847,0.70522934,-1.1287286,-0.6265348,-0.03525342,-0.3375055,0.98284477,1.989988,-0.31115016,1.3153818,-0.02343868,1.6027591,1.1721458
northern_europe,-1.357296,-0.14052483,1.8482423,-1.0568244,0.2762365,-0.38959515,-0.25988677,1.0916597,-0.09197372,1.5193188,-0.070789285,-0.1305221,0.35428473,0.41122684,0.83890736,0.8209501
guinea,-0.82554966,-1.3768187,-0.23293471,-1.2863331,0.7616099,-1.2255695,0.25788906,0.10366248,-0.06303332,0.887236,1.5328909,-0.04148987,1.1949799,0.64331025,1.0282986,1.5340366
kuwait,-1.3050554,-0.9095926,0.7859094,-1.0822285,-0.44598594,-0.91898763,-0.30634913,-0.9242611,-0.44278112,2.4963832,0.23489626,-0.7750783,1.6798776,1.4731725,0.3311138,0.2431128
nicaragua,-0.9805643,-0.4206841,0.42439008,-1.1807348,-0.066182844,-0.45585197,-0.52827924,0.46694806,-0.35597518,1.299985,0.42262363,-0.98231614,0.82675153,1.2200931,1.1961663,0.882315
mauritania,-1.1590478,-0.6114845,-0.40650553,-1.5347575,0.8702655,-1.152793,-0.6435284,-1.2566984,-0.45913613,1.1671349,1.7053648,-0.6215818,1.6184685,0.6170121,1.9113328,0.11653394
netherlands,-0.8919214,-0.21225457,0.80305284,-1.4463019,1.4154248,-0.7226882,0.12561558,-0.0071795895,-0.12042753,1.6329856,-0.15662044,-0.5737635,2.133999,0.81969523,1.282897,1.0158064
swaziland,-0.21406245,-0.67395574,0.031583205,-1.4317434,0.3442704,-0.27009603,-0.5147181,-0.120184265,-0.37643266,1.5510445,0.7112095,-0.7136055,1.8765731,0.752277,1.9750249,0.7888426
wallis_and_futuna,-0.5630707,-0.38145107,0.22092104,-1.5854282,0.455034,0.104407266,-0.25420743,0.3432915,-0.34563977,2.0401268,0.24243987,-0.6625703,1.5583875,1.6448064,1.9772996,0.93659025
ireland,-0.57132655,-0.50303096,1.0002911,-1.6583843,0.49061888,-0.82568926,-1.257633,0.056311738,-0.38626537,1.6460632,-0.07117578,-0.675095,1.444412,0.51461357,1.8290223,0.6999431
france,-0.5254954,-0.30584243,0.8575749,-0.6258183,-0.6574149,-0.4855486,-0.47560677,0.29554394,-0.09465704,1.1590663,-0.369527,-0.7134755,0.6550592,0.7208329,1.3893254,1.0777829
seychelles,-1.1487687,-0.521953,0.48880774,-0.014254345,0.04997094,-0.41684943,-0.019522294,0.27417877,-0.30827296,2.107377,1.008815,-1.2359987,1.1754662,1.4797806,1.8639716,1.2464433
eastern_africa,-1.2559123,-0.4346509,-0.1460177,-0.24112438,0.62811965,-0.14748737,-0.35567555,0.3442801,-0.0061952765,1.1526654,0.89499104,-0.5165069,0.33027017,0.87251616,1.3481098,0.41788653
monaco,-1.328958,-0.49602857,0.6085561,-1.2771186,0.09513088,-0.5725826,-0.5960907,-0.22531489,-0.24477822,1.4275073,0.130833,-0.746084,1.6565374,1.0019462,1.9281307,0.6524236
caribbean,-0.13982058,-0.15892401,0.858091,-0.96459085,0.5806712,-0.35199687,-0.15373524,0.42131284,-0.069404684,0.9303617,0.5507069,-0.39749226,0.5629184,0.29175818,1.2816249,0.42380086
united_arab_emirates,-0.60284215,-0.7140632,0.97184116,-0.80777466,0.4665194,-0.48481005,-0.96106064,0.08928864,-0.37201855,0.81189275,0.025498692,-0.68279314,1.276957,1.2132955,2.2651472,0.6621678
jamaica,-1.2680776,-0.3505935,0.50803465,-1.2636697,0.36712638,-0.7160801,-0.2303172,0.24282934,-0.32306972,1.4820328,0.1731179,-0.5447544,1.3685198,1.2289367,2.0797503,1.117698
macau,-0.9112764,-0.037293546,0.36887142,-1.9526087,-0.33218178,-0.78154266,-0.6703556,0.5447582,-0.3863425,1.5077333,0.8251062,-0.8094146,-0.0815796,1.3695562,2.4121745,1.3314339
palestine,-0.22502401,-0.47201082,0.76345724,-1.2345829,0.3767963,-0.29444605,-0.51091075,0.25930876,-0.38302088,1.574353,0.8431846,-0.509185,1.4707558,0.67494327,1.8612955,0.9735349
israel,-0.8644833,-0.4785891,-0.57113475,-0.8758071,0.4176745,-0.45091084,-0.51225495,0.35823536,-0.48669022,1.4678018,0.48659375,-0.543964,1.1699771,0.86545104,1.3074042,0.8698372
puerto_rico,-1.4893683,-0.46365857,0.49178997,-1.7951353,0.5231824,-0.84852016,0.715564,0.34801796,-0.38229012,1.3908334,0.18615852,-0.7555942,1.7392024,1.2550582,1.592269,1.3180931
thailand,-0.89909273,-0.41081452,0.58749086,-0.99512076,-0.00095333817,-0.45468286,-0.41961744,0.4657254,-0.29118282,1.2379009,1.0347973,-0.47386265,0.7891019,0.62337005,1.0603496,1.0895016
eastern_europe,-0.91898715,-0.47408375,1.75639,-1.3142821,0.4412247,-0.18390204,-0.5473862,-0.35927385,-0.30875954,1.1925452,-0.054494925,-0.19758052,0.50593567,1.2297065,1.464654,0.24948892
cocos_keeling_islands,-0.77439106,-0.36114195,0.8216787,-1.2225044,0.43247384,-0.31580207,-0.22342406,0.1866692,-0.30999783,1.8357116,0.23772518,-0.820881,1.5784266,1.1820242,1.7788287,0.65321237
lesotho,-1.0923277,-0.7950169,-0.032895282,-1.1336172,0.41269982,-0.7612974,-0.41285586,-0.53675526,-0.44621724,1.5819643,0.53031737,-0.74629015,2.0671191,0.96391267,1.8690645,0.53555316
botswana,-1.1571465,-0.44583318,0.19259802,-1.0073887,0.5064177,-0.8831346,-0.6971724,0.0071989056,-0.73244876,1.045162,0.9786417,-0.4953929,1.5466229,0.9046692,1.2625271,-0.22201133
el_salvador,-0.6648388,-0.25150114,0.019762442,-1.0656494,0.7270111,-1.180373,-0.51390237,0.3257311,-0.74446404,0.83621746,0.43324375,-0.97192067,1.3957794,1.0601288,1.3819227,0.96162814
southern_africa,-1.6259043,-0.8766084,0.58410454,0.21453841,-1.9134152,-0.71962863,-0.73762274,0.5392003,-0.36965007,2.165129,0.8773488,-1.2910633,-0.18688379,0.9508898,2.6647255,1.4525987
jersey,-1.2599027,-0.6814228,1.2593875,-0.2798213,0.101910405,0.706258,-0.76555115,0.60116845,-0.3876762,2.1562448,-0.20061673,-1.1567512,1.1464661,2.0764027,2.7566512,1.4644982
samoa,-0.91774994,-0.27980632,0.16034576,-1.4994172,0.3230645,-0.4621824,-0.3005895,1.1586918,-0.37068838,1.9663898,0.24637184,-0.57078075,1.5389273,1.458333,1.9131311,1.0911103
dominica,-0.59675103,-0.6739542,1.3256927,-1.6434498,0.31649894,0.10697123,0.5444374,0.325914,-0.4684585,2.442612,0.21599822,-0.9678979,1.1759717,1.7496234,1.573933,1.3811281
brazil,-0.5975212,-0.29997978,-0.017666727,-1.0645055,0.55408764,-0.33912796,-0.24664782,0.16382465,-0.2398454,0.93093497,0.03445314,-0.1533405,1.241733,0.82985574,1.0115452,0.97374284
